,stasiun,pm10,so2,co,o3,no2,categori
0,DKI3 (Jagakarsa),17.0,8.0,20.0,63.0,11.0,SEDANG
1,DKI3 (Jagakarsa),20.0,7.0,6.0,81.0,7.0,SEDANG
2,DKI3 (Jagakarsa),21.0,8.0,6.0,165.0,9.0,TIDAK SEHAT
3,DKI3 (Jagakarsa),12.0,7.0,8.0,82.0,10.0,BAIK
4,DKI3 (Jagakarsa),14.0,7.0,6.0,82.0,9.0,BAIK
5,DKI3 (Jagakarsa),14.0,7.0,4.0,70.0,8.0,SEDANG
6,DKI3 (Jagakarsa),18.0,7.0,15.0,73.0,8.0,SEDANG
7,DKI3 (Jagakarsa),21.0,7.0,15.0,38.0,5.0,BAIK
8,DKI3 (Jagakarsa),11.0,7.0,15.0,32.0,8.0,BAIK
9,DKI3 (Jagakarsa),20.0,8.0,15.0,78.0,12.0,SEDANG
10,DKI3 (Jagakarsa),15.0,10.0,11.0,56.0,13.0,SEDANG
11,DKI3 (Jagakarsa),53.0,9.0,12.0,81.0,7.0,SEDANG
12,DKI3 (Jagakarsa),33.0,4.0,15.0,105.0,7.0,TIDAK SEHAT
13,DKI3 (Jagakarsa),32.0,4.0,6.0,109.0,6.0,TIDAK SEHAT
14,DKI3 (Jagakarsa),24.0,16.0,23.0,209.0,10.0,SANGAT TIDAK SEHAT
15,DKI3 (Jagakarsa),15.0,2.0,15.0,105.0,10.0,TIDAK SEHAT
16,DKI3 (Jagakarsa),16.0,2.0,22.0,70.0,9.0,SEDANG
17,DKI3 (Jagakarsa),24.0,1.0,15.0,79.0,8.0,SEDANG
18,DKI3 (Jagakarsa),13.0,16.0,32.0,49.0,8.0,BAIK
19,DKI3 (Jagakarsa),15.0,16.0,10.0,27.0,9.0,BAIK
20,DKI3 (Jagakarsa),19.0,1.0,19.0,54.0,4.0,SEDANG
21,DKI3 (Jagakarsa),14.0,16.0,19.0,40.0,7.0,BAIK
22,DKI3 (Jagakarsa),16.0,1.0,25.0,44.0,6.0,BAIK
23,DKI3 (Jagakarsa),51.0,2.0,15.0,57.0,7.0,SEDANG
24,DKI3 (Jagakarsa),24.0,16.0,20.0,48.0,9.0,BAIK
25,DKI3 (Jagakarsa),29.0,16.0,29.0,48.0,5.0,BAIK
26,DKI3 (Jagakarsa),22.0,16.0,16.0,34.0,6.0,BAIK
27,DKI3 (Jagakarsa),23.0,16.0,10.0,42.0,4.0,BAIK
28,DKI3 (Jagakarsa),19.0,16.0,11.0,36.0,3.0,BAIK
29,DKI3 (Jagakarsa),17.0,16.0,13.0,49.0,4.0,BAIK
30,DKI3 (Jagakarsa),21.0,16.0,19.0,35.0,5.0,BAIK
31,DKI3 (Jagakarsa),22.0,16.0,7.0,29.0,2.0,BAIK
32,DKI3 (Jagakarsa),15.0,16.0,6.0,38.0,2.0,BAIK
33,DKI3 (Jagakarsa),19.0,16.0,7.0,37.0,2.0,BAIK
34,DKI3 (Jagakarsa),17.0,16.0,7.0,25.0,2.0,BAIK
35,DKI3 (Jagakarsa),32.0,16.0,20.0,30.0,4.0,BAIK
36,DKI3 (Jagakarsa),19.0,16.0,17.0,59.0,5.0,SEDANG
37,DKI3 (Jagakarsa),48.0,1.0,24.0,52.0,5.0,SEDANG
38,DKI3 (Jagakarsa),14.0,16.0,6.0,30.0,2.0,BAIK
39,DKI3 (Jagakarsa),18.0,16.0,5.0,26.0,2.0,BAIK
40,DKI3 (Jagakarsa),19.0,16.0,13.0,24.0,4.0,BAIK
41,DKI3 (Jagakarsa),18.0,0.0,10.0,25.0,4.0,BAIK
42,DKI3 (Jagakarsa),11.0,0.0,20.0,23.0,4.0,BAIK
43,DKI3 (Jagakarsa),12.0,0.0,6.0,24.0,2.0,BAIK
44,DKI3 (Jagakarsa),11.0,0.0,5.0,21.0,1.0,BAIK
45,DKI3 (Jagakarsa),15.0,1.0,5.0,24.0,2.0,BAIK
46,DKI3 (Jagakarsa),19.0,1.0,10.0,42.0,3.0,BAIK
47,DKI3 (Jagakarsa),18.0,1.0,27.0,48.0,7.0,BAIK
48,DKI3 (Jagakarsa),18.0,1.0,13.0,40.0,3.0,BAIK
49,DKI3 (Jagakarsa),21.0,1.0,40.0,44.0,9.0,BAIK
50,DKI3 (Jagakarsa),22.0,0.0,27.0,49.0,7.0,BAIK
51,DKI3 (Jagakarsa),40.0,0.0,36.0,39.0,8.0,BAIK
52,DKI3 (Jagakarsa),22.0,0.0,31.0,47.0,9.0,BAIK
53,DKI3 (Jagakarsa),45.0,1.0,40.0,56.0,6.0,SEDANG
54,DKI3 (Jagakarsa),38.0,1.0,9.0,52.0,3.0,SEDANG
55,DKI3 (Jagakarsa),32.0,2.0,20.0,49.0,6.0,BAIK
