,stasiun,pm10,so2,co,o3,no2,categori
0,DKI1 (Bunderan HI),20.0,37.0,52.0,48.0,18.0,SEDANG
1,DKI1 (Bunderan HI),19.0,30.0,29.0,47.0,16.0,BAIK
2,DKI1 (Bunderan HI),65.0,32.0,39.0,97.0,21.0,SEDANG
3,DKI1 (Bunderan HI),76.0,30.0,56.0,94.0,19.0,SEDANG
4,DKI1 (Bunderan HI),59.0,30.0,45.0,62.0,17.0,SEDANG
5,DKI1 (Bunderan HI),66.0,26.0,38.0,83.0,12.0,SEDANG
6,DKI1 (Bunderan HI),44.0,27.0,28.0,41.0,14.0,BAIK
7,DKI1 (Bunderan HI),39.0,31.0,33.0,32.0,11.0,BAIK
8,DKI1 (Bunderan HI),49.0,39.0,33.0,29.0,10.0,BAIK
9,DKI1 (Bunderan HI),60.0,34.0,37.0,123.0,21.0,TIDAK SEHAT
10,DKI1 (Bunderan HI),71.0,5.0,42.0,86.0,19.0,SEDANG
11,DKI1 (Bunderan HI),51.0,18.0,26.0,78.0,14.0,SEDANG
12,DKI1 (Bunderan HI),58.0,18.0,38.0,115.0,16.0,TIDAK SEHAT
13,DKI1 (Bunderan HI),60.0,18.0,28.0,104.0,16.0,TIDAK SEHAT
14,DKI1 (Bunderan HI),68.0,5.0,30.0,77.0,19.0,SEDANG
15,DKI1 (Bunderan HI),70.0,18.0,29.0,75.0,17.0,SEDANG
16,DKI1 (Bunderan HI),59.0,5.0,28.0,71.0,20.0,SEDANG
17,DKI1 (Bunderan HI),68.0,3.0,42.0,92.0,30.0,SEDANG
18,DKI1 (Bunderan HI),63.0,2.0,54.0,64.0,14.0,SEDANG
19,DKI1 (Bunderan HI),59.0,5.0,18.0,68.0,10.0,SEDANG
20,DKI1 (Bunderan HI),53.0,5.0,30.0,68.0,20.0,SEDANG
21,DKI1 (Bunderan HI),49.0,6.0,39.0,62.0,19.0,SEDANG
22,DKI1 (Bunderan HI),65.0,6.0,49.0,62.0,18.0,SEDANG
23,DKI1 (Bunderan HI),60.0,6.0,33.0,76.0,20.0,SEDANG
24,DKI1 (Bunderan HI),55.0,4.0,29.0,70.0,14.0,SEDANG
25,DKI1 (Bunderan HI),51.0,2.0,38.0,68.0,12.0,SEDANG
26,DKI1 (Bunderan HI),43.0,4.0,33.0,57.0,11.0,SEDANG
27,DKI1 (Bunderan HI),53.0,7.0,21.0,47.0,13.0,SEDANG
28,DKI1 (Bunderan HI),45.0,4.0,20.0,41.0,10.0,BAIK
29,DKI1 (Bunderan HI),38.0,3.0,31.0,54.0,13.0,SEDANG
30,DKI1 (Bunderan HI),45.0,5.0,30.0,33.0,10.0,BAIK
31,DKI1 (Bunderan HI),47.0,4.0,23.0,39.0,11.0,BAIK
32,DKI1 (Bunderan HI),40.0,4.0,26.0,39.0,14.0,BAIK
33,DKI1 (Bunderan HI),38.0,3.0,20.0,37.0,10.0,BAIK
34,DKI1 (Bunderan HI),31.0,2.0,15.0,28.0,7.0,BAIK
35,DKI1 (Bunderan HI),75.0,4.0,23.0,51.0,9.0,SEDANG
36,DKI1 (Bunderan HI),35.0,4.0,21.0,34.0,8.0,BAIK
37,DKI1 (Bunderan HI),57.0,3.0,50.0,35.0,12.0,SEDANG
38,DKI1 (Bunderan HI),40.0,2.0,28.0,32.0,10.0,BAIK
39,DKI1 (Bunderan HI),51.0,3.0,34.0,34.0,15.0,SEDANG
40,DKI1 (Bunderan HI),62.0,3.0,45.0,44.0,15.0,SEDANG
41,DKI1 (Bunderan HI),52.0,1.0,25.0,48.0,11.0,SEDANG
42,DKI1 (Bunderan HI),41.0,2.0,29.0,33.0,14.0,BAIK
43,DKI1 (Bunderan HI),69.0,4.0,32.0,36.0,15.0,SEDANG
44,DKI1 (Bunderan HI),53.0,2.0,29.0,37.0,14.0,SEDANG
45,DKI1 (Bunderan HI),70.0,2.0,34.0,59.0,17.0,SEDANG
46,DKI1 (Bunderan HI),66.0,3.0,32.0,49.0,15.0,SEDANG
47,DKI1 (Bunderan HI),82.0,2.0,23.0,44.0,14.0,SEDANG
48,DKI1 (Bunderan HI),64.0,2.0,63.0,43.0,22.0,SEDANG
49,DKI1 (Bunderan HI),80.0,3.0,55.0,86.0,25.0,SEDANG
50,DKI1 (Bunderan HI),56.0,2.0,37.0,76.0,21.0,SEDANG
51,DKI1 (Bunderan HI),44.0,1.0,28.0,50.0,11.0,BAIK
52,DKI1 (Bunderan HI),59.0,2.0,57.0,99.0,21.0,SEDANG
53,DKI1 (Bunderan HI),64.0,3.0,33.0,75.0,22.0,SEDANG
54,DKI1 (Bunderan HI),70.0,2.0,31.0,85.0,16.0,SEDANG
55,DKI1 (Bunderan HI),65.0,2.0,34.0,140.0,19.0,TIDAK SEHAT
56,DKI1 (Bunderan HI),72.0,2.0,46.0,85.0,23.0,SEDANG
57,DKI1 (Bunderan HI),69.0,2.0,35.0,73.0,20.0,SEDANG
58,DKI1 (Bunderan HI),51.0,2.0,31.0,102.0,19.0,TIDAK SEHAT
59,DKI1 (Bunderan HI),64.0,2.0,38.0,73.0,21.0,SEDANG
60,DKI1 (Bunderan HI),59.0,3.0,34.0,80.0,14.0,SEDANG
61,DKI1 (Bunderan HI),49.0,2.0,21.0,61.0,11.0,SEDANG
62,DKI1 (Bunderan HI),33.0,1.0,20.0,54.0,10.0,SEDANG
63,DKI1 (Bunderan HI),45.0,2.0,33.0,45.0,15.0,BAIK
64,DKI1 (Bunderan HI),44.0,2.0,32.0,39.0,12.0,BAIK
65,DKI1 (Bunderan HI),58.0,3.0,29.0,51.0,13.0,SEDANG
66,DKI1 (Bunderan HI),54.0,2.0,42.0,53.0,16.0,SEDANG
67,DKI1 (Bunderan HI),50.0,2.0,25.0,43.0,11.0,BAIK
68,DKI1 (Bunderan HI),49.0,1.0,25.0,68.0,12.0,SEDANG
69,DKI1 (Bunderan HI),59.0,2.0,28.0,64.0,13.0,SEDANG
70,DKI1 (Bunderan HI),52.0,2.0,24.0,65.0,15.0,SEDANG
71,DKI1 (Bunderan HI),54.0,1.0,31.0,75.0,14.0,SEDANG
72,DKI1 (Bunderan HI),53.0,1.0,33.0,69.0,17.0,SEDANG
73,DKI1 (Bunderan HI),47.0,2.0,21.0,54.0,7.0,SEDANG
74,DKI1 (Bunderan HI),48.0,2.0,24.0,62.0,9.0,SEDANG
75,DKI1 (Bunderan HI),52.0,2.0,26.0,75.0,12.0,SEDANG
76,DKI1 (Bunderan HI),55.0,2.0,23.0,79.0,13.0,SEDANG
77,DKI1 (Bunderan HI),42.0,1.0,26.0,73.0,14.0,SEDANG
78,DKI1 (Bunderan HI),44.0,2.0,38.0,48.0,13.0,BAIK
79,DKI1 (Bunderan HI),103.0,5.0,80.0,57.0,31.0,TIDAK SEHAT
80,DKI1 (Bunderan HI),87.0,6.0,73.0,72.0,30.0,SEDANG
81,DKI1 (Bunderan HI),63.0,4.0,34.0,53.0,17.0,SEDANG
82,DKI1 (Bunderan HI),64.0,4.0,40.0,53.0,15.0,SEDANG
83,DKI1 (Bunderan HI),61.0,4.0,29.0,76.0,10.0,SEDANG
84,DKI1 (Bunderan HI),58.0,1.0,31.0,76.0,10.0,SEDANG
85,DKI1 (Bunderan HI),47.0,2.0,24.0,55.0,11.0,SEDANG
86,DKI1 (Bunderan HI),63.0,3.0,37.0,101.0,21.0,TIDAK SEHAT
87,DKI1 (Bunderan HI),65.0,4.0,36.0,70.0,20.0,SEDANG
