,stasiun,pm10,so2,co,o3,no2,categori
72,DKI5 (Kebon Jeruk),45.0,1.0,41.0,92.0,12.0,SEDANG
73,DKI5 (Kebon Jeruk),65.0,3.0,25.0,107.0,14.0,TIDAK SEHAT
74,DKI5 (Kebon Jeruk),66.0,3.0,17.0,63.0,9.0,SEDANG
75,DKI5 (Kebon Jeruk),53.0,2.0,35.0,165.0,16.0,TIDAK SEHAT
76,DKI5 (Kebon Jeruk),63.0,2.0,39.0,74.0,18.0,SEDANG
77,DKI5 (Kebon Jeruk),64.0,2.0,23.0,85.0,11.0,SEDANG
78,DKI5 (Kebon Jeruk),33.0,4.0,18.0,90.0,12.0,SEDANG
79,DKI5 (Kebon Jeruk),54.0,5.0,22.0,44.0,15.0,SEDANG
80,DKI5 (Kebon Jeruk),49.0,4.0,19.0,48.0,8.0,BAIK
81,DKI5 (Kebon Jeruk),32.0,3.0,7.0,40.0,5.0,BAIK
82,DKI5 (Kebon Jeruk),14.0,2.0,7.0,34.0,4.0,BAIK
83,DKI5 (Kebon Jeruk),14.0,3.0,11.0,34.0,5.0,BAIK
84,DKI5 (Kebon Jeruk),4.0,4.0,11.0,30.0,7.0,BAIK
85,DKI5 (Kebon Jeruk),6.0,4.0,23.0,27.0,8.0,BAIK
86,DKI5 (Kebon Jeruk),9.0,3.0,30.0,31.0,14.0,BAIK
87,DKI5 (Kebon Jeruk),2.0,3.0,18.0,37.0,8.0,BAIK
88,DKI5 (Kebon Jeruk),3.0,3.0,10.0,41.0,7.0,BAIK
89,DKI5 (Kebon Jeruk),12.0,2.0,29.0,45.0,13.0,BAIK
90,DKI5 (Kebon Jeruk),6.0,3.0,10.0,49.0,6.0,BAIK
91,DKI5 (Kebon Jeruk),6.0,3.0,12.0,46.0,8.0,BAIK
92,DKI5 (Kebon Jeruk),6.0,2.0,13.0,35.0,9.0,BAIK
93,DKI5 (Kebon Jeruk),13.0,2.0,7.0,25.0,3.0,BAIK
94,DKI5 (Kebon Jeruk),9.0,3.0,8.0,34.0,3.0,BAIK
95,DKI5 (Kebon Jeruk),9.0,3.0,9.0,47.0,5.0,BAIK
96,DKI5 (Kebon Jeruk),8.0,4.0,16.0,48.0,8.0,BAIK
97,DKI5 (Kebon Jeruk),26.0,1.0,13.0,30.0,8.0,BAIK
98,DKI5 (Kebon Jeruk),3.0,2.0,13.0,37.0,8.0,BAIK
99,DKI5 (Kebon Jeruk),36.0,7.0,79.0,69.0,18.0,SEDANG
