,place,pm10,so2,co,o3,no2,AQI_category
95,Place_1,89.0,3.0,53.0,108.0,26.0,TIDAK SEHAT
96,Place_1,71.0,2.0,37.0,114.0,18.0,TIDAK SEHAT
97,Place_1,54.0,2.0,18.0,37.0,10.0,SEDANG
98,Place_1,46.0,1.0,23.0,63.0,12.0,SEDANG
99,Place_1,56.0,2.0,40.0,69.0,22.0,SEDANG
100,Place_1,66.0,2.0,34.0,56.0,23.0,SEDANG
101,Place_1,71.0,2.0,43.0,111.0,27.0,TIDAK SEHAT
102,Place_1,62.0,2.0,35.0,73.0,17.0,SEDANG
103,Place_1,56.0,2.0,33.0,47.0,16.0,SEDANG
104,Place_1,51.0,1.0,23.0,89.0,16.0,SEDANG
105,Place_1,47.0,2.0,23.0,57.0,11.0,SEDANG
106,Place_1,56.0,2.0,42.0,66.0,25.0,SEDANG
107,Place_1,56.0,2.0,37.0,94.0,23.0,SEDANG
108,Place_1,61.0,2.0,28.0,47.0,14.0,SEDANG
109,Place_1,54.0,3.0,33.0,62.0,15.0,SEDANG
110,Place_1,56.0,2.0,33.0,54.0,21.0,SEDANG
111,Place_1,34.0,1.0,22.0,27.0,8.0,BAIK
112,Place_1,34.0,1.0,15.0,44.0,7.0,BAIK
113,Place_1,47.0,1.0,22.0,52.0,7.0,SEDANG
114,Place_1,47.0,1.0,30.0,61.0,11.0,SEDANG
115,Place_1,60.0,1.0,37.0,117.0,32.0,TIDAK SEHAT
116,Place_1,49.0,1.0,31.0,121.0,22.0,TIDAK SEHAT
117,Place_1,60.0,2.0,46.0,88.0,20.0,SEDANG
118,Place_1,65.0,2.0,32.0,99.0,20.0,SEDANG
119,Place_1,68.0,2.0,26.0,75.0,19.0,SEDANG
120,Place_1,56.0,1.0,32.0,68.0,12.0,SEDANG
121,Place_1,73.0,2.0,53.0,77.0,20.0,SEDANG
122,Place_1,64.0,2.0,32.0,66.0,12.0,SEDANG
123,Place_1,82.0,1.0,43.0,63.0,13.0,SEDANG
124,Place_1,70.0,2.0,16.0,62.0,12.0,SEDANG
125,Place_1,56.0,2.0,33.0,48.0,19.0,SEDANG
126,Place_1,71.0,3.0,27.0,54.0,12.0,SEDANG
127,Place_1,74.0,3.0,18.0,64.0,12.0,SEDANG
128,Place_1,72.0,1.0,15.0,61.0,12.0,SEDANG
129,Place_1,75.0,3.0,28.0,58.0,18.0,SEDANG
130,Place_1,81.0,1.0,28.0,53.0,16.0,SEDANG
131,Place_1,53.0,1.0,31.0,43.0,17.0,SEDANG
132,Place_1,62.0,2.0,28.0,55.0,16.0,SEDANG
133,Place_1,58.0,2.0,32.0,74.0,25.0,SEDANG
134,Place_1,61.0,3.0,32.0,76.0,19.0,SEDANG
135,Place_1,56.0,1.0,32.0,70.0,18.0,SEDANG
136,Place_1,57.0,2.0,35.0,37.0,15.0,SEDANG
137,Place_1,74.0,3.0,45.0,57.0,22.0,SEDANG
138,Place_1,72.0,2.0,34.0,48.0,28.0,SEDANG
139,Place_1,57.0,2.0,33.0,45.0,28.0,SEDANG
140,Place_1,69.0,3.0,25.0,46.0,18.0,SEDANG
141,Place_1,66.0,3.0,29.0,72.0,21.0,SEDANG
142,Place_1,73.0,3.0,30.0,63.0,28.0,SEDANG
143,Place_1,39.0,1.0,34.0,91.0,28.0,SEDANG
144,Place_1,32.0,4.0,31.0,69.0,24.0,SEDANG
145,Place_1,66.0,2.0,36.0,37.0,16.0,SEDANG
146,Place_1,59.0,3.0,45.0,83.0,24.0,SEDANG
147,Place_1,63.0,2.0,30.0,78.0,24.0,SEDANG
148,Place_1,77.0,2.0,24.0,68.0,25.0,SEDANG
149,Place_1,59.0,2.0,14.0,74.0,16.0,SEDANG
150,Place_1,67.0,3.0,13.0,48.0,18.0,SEDANG
151,Place_1,58.0,3.0,10.0,51.0,17.0,SEDANG
152,Place_1,70.0,3.0,6.0,61.0,19.0,SEDANG
153,Place_1,56.0,3.0,20.0,50.0,22.0,SEDANG
154,Place_1,52.0,2.0,20.0,48.0,11.0,SEDANG
155,Place_1,50.0,2.0,20.0,24.0,11.0,BAIK
156,Place_1,56.0,3.0,33.0,4.0,14.0,SEDANG
157,Place_1,53.0,3.0,28.0,4.0,13.0,SEDANG
