,place,pm10,so2,co,o3,no2,AQI_category
2051,Place_1,56.0,10.0,17.0,25.0,4.0,SEDANG
2052,Place_1,44.0,11.0,16.0,33.0,4.0,BAIK
2053,Place_1,41.0,11.0,17.0,28.0,4.0,BAIK
2054,Place_1,54.0,11.0,12.0,39.0,3.0,SEDANG
2055,Place_1,47.0,11.0,15.0,26.0,4.0,BAIK
2056,Place_1,63.0,11.0,19.0,14.0,4.0,SEDANG
2057,Place_1,37.0,10.0,17.0,33.0,5.0,BAIK
2058,Place_1,38.0,11.0,17.0,35.0,4.0,BAIK
2059,Place_1,46.0,11.0,16.0,37.0,3.0,BAIK
2060,Place_1,37.0,11.0,20.0,32.0,3.0,BAIK
2061,Place_1,37.0,12.0,11.0,35.0,3.0,BAIK
2062,Place_1,37.0,11.0,14.0,33.0,4.0,BAIK
2063,Place_1,51.0,11.0,15.0,30.0,4.0,SEDANG
2064,Place_1,27.0,11.0,18.0,19.0,5.0,BAIK
2065,Place_1,59.0,11.0,17.0,22.0,4.0,SEDANG
2066,Place_1,53.0,11.0,17.0,15.0,5.0,SEDANG
2067,Place_1,55.0,11.0,20.0,26.0,5.0,SEDANG
2068,Place_1,64.0,12.0,14.0,30.0,4.0,SEDANG
2069,Place_1,52.0,10.0,16.0,23.0,3.0,SEDANG
2070,Place_1,57.0,10.0,19.0,43.0,5.0,SEDANG
2071,Place_1,55.0,11.0,19.0,28.0,5.0,BAIK
2072,Place_1,59.0,11.0,18.0,23.0,5.0,SEDANG
2073,Place_1,30.0,10.0,20.0,38.0,5.0,BAIK
2074,Place_1,43.0,10.0,16.0,35.0,3.0,BAIK
2075,Place_1,42.0,10.0,14.0,29.0,3.0,BAIK
2076,Place_1,33.0,10.0,14.0,39.0,4.0,BAIK
2077,Place_1,36.0,9.0,14.0,32.0,3.0,BAIK
2078,Place_1,43.0,10.0,27.0,28.0,5.0,BAIK
2079,Place_1,36.0,10.0,17.0,14.0,4.0,BAIK
2080,Place_1,29.0,10.0,18.0,16.0,4.0,BAIK
2081,Place_1,57.0,10.0,18.0,35.0,5.0,SEDANG
2082,Place_1,34.0,9.0,12.0,33.0,3.0,BAIK
2083,Place_1,42.0,9.0,24.0,44.0,2.0,BAIK
2084,Place_1,46.0,10.0,22.0,34.0,3.0,BAIK
2085,Place_1,47.0,10.0,16.0,19.0,3.0,BAIK
2086,Place_1,65.0,11.0,26.0,19.0,5.0,SEDANG
2087,Place_1,45.0,10.0,21.0,32.0,3.0,BAIK
2088,Place_1,51.0,11.0,21.0,37.0,4.0,SEDANG
2089,Place_1,45.0,10.0,17.0,28.0,2.0,BAIK
2090,Place_1,48.0,10.0,20.0,22.0,3.0,BAIK
2091,Place_1,45.0,10.0,19.0,41.0,3.0,BAIK
2092,Place_1,53.0,10.0,23.0,28.0,3.0,SEDANG
2093,Place_1,49.0,10.0,23.0,37.0,3.0,BAIK
2094,Place_1,58.0,11.0,32.0,31.0,5.0,SEDANG
2095,Place_1,49.0,14.0,23.0,72.0,4.0,SEDANG
2096,Place_1,59.0,16.0,20.0,65.0,3.0,SEDANG
2097,Place_1,59.0,15.0,20.0,75.0,4.0,SEDANG
2098,Place_1,37.0,15.0,18.0,32.0,2.0,BAIK
2099,Place_1,15.0,13.0,9.0,30.0,1.0,BAIK
2100,Place_1,21.0,17.0,19.0,130.0,2.0,TIDAK SEHAT
2101,Place_1,34.0,20.0,18.0,125.0,3.0,TIDAK SEHAT
2102,Place_1,31.0,17.0,14.0,62.0,3.0,SEDANG
2103,Place_1,53.0,16.0,18.0,43.0,3.0,SEDANG
2104,Place_1,41.0,15.0,17.0,61.0,3.0,SEDANG
2105,Place_1,51.0,18.0,21.0,127.0,3.0,TIDAK SEHAT
2106,Place_1,61.0,17.0,20.0,55.0,2.0,SEDANG
2107,Place_1,43.0,16.0,23.0,100.0,4.0,SEDANG
2108,Place_1,61.0,16.0,38.0,61.0,4.0,SEDANG
2109,Place_1,54.0,12.0,19.0,71.0,2.0,SEDANG
2110,Place_1,73.0,19.0,20.0,48.0,2.0,SEDANG
2111,Place_1,63.0,14.0,26.0,84.0,3.0,SEDANG
2112,Place_1,51.0,15.0,20.0,62.0,3.0,SEDANG
2113,Place_1,60.0,15.0,27.0,64.0,2.0,SEDANG
2114,Place_1,53.0,14.0,20.0,73.0,3.0,SEDANG
2115,Place_1,57.0,15.0,21.0,64.0,3.0,SEDANG
2116,Place_1,59.0,18.0,22.0,65.0,15.0,SEDANG
2117,Place_1,57.0,16.0,21.0,86.0,4.0,SEDANG
2118,Place_1,63.0,13.0,29.0,71.0,3.0,SEDANG
2119,Place_1,62.0,16.0,31.0,57.0,3.0,SEDANG
2120,Place_1,49.0,16.0,23.0,66.0,4.0,SEDANG
2121,Place_1,50.0,16.0,21.0,82.0,4.0,SEDANG
2122,Place_1,68.0,14.0,27.0,81.0,4.0,SEDANG
2123,Place_1,54.0,15.0,17.0,80.0,3.0,SEDANG
2124,Place_1,64.0,13.0,21.0,94.0,5.0,SEDANG
2125,Place_1,82.0,15.0,39.0,92.0,4.0,SEDANG
2126,Place_1,57.0,14.0,27.0,112.0,3.0,TIDAK SEHAT
2127,Place_1,52.0,15.0,18.0,63.0,3.0,SEDANG
2128,Place_1,50.0,15.0,15.0,69.0,3.0,SEDANG
2129,Place_1,23.0,13.0,10.0,34.0,2.0,BAIK
2130,Place_1,41.0,12.0,9.0,36.0,2.0,BAIK
2131,Place_1,35.0,13.0,12.0,62.0,3.0,SEDANG
2132,Place_1,36.0,17.0,12.0,86.0,3.0,SEDANG
2133,Place_1,60.0,15.0,20.0,88.0,3.0,SEDANG
2134,Place_1,48.0,14.0,17.0,49.0,3.0,BAIK
2135,Place_1,33.0,13.0,12.0,23.0,3.0,BAIK
2136,Place_1,48.0,14.0,20.0,15.0,2.0,BAIK
2137,Place_1,21.0,11.0,4.0,20.0,1.0,BAIK
2138,Place_1,22.0,13.0,6.0,22.0,2.0,BAIK
2139,Place_1,22.0,14.0,7.0,18.0,2.0,BAIK
2140,Place_1,28.0,13.0,15.0,55.0,3.0,SEDANG
2141,Place_1,4.0,13.0,20.0,63.0,3.0,SEDANG
2142,Place_1,19.0,18.0,5.0,19.0,8.0,BAIK
2143,Place_1,17.0,18.0,20.0,19.0,4.0,BAIK
2144,Place_1,24.0,18.0,4.0,33.0,3.0,BAIK
2145,Place_1,29.0,15.0,5.0,19.0,13.0,BAIK
2146,Place_1,24.0,17.0,5.0,19.0,6.0,BAIK
2147,Place_1,16.0,16.0,5.0,29.0,4.0,BAIK
2148,Place_1,38.0,18.0,8.0,24.0,3.0,BAIK
2149,Place_1,37.0,29.0,16.0,19.0,16.0,BAIK
2150,Place_1,66.0,34.0,30.0,19.0,27.0,SEDANG
2151,Place_1,52.0,47.0,14.0,19.0,25.0,SEDANG
2152,Place_1,36.0,18.0,25.0,89.0,3.0,SEDANG
2153,Place_1,61.0,15.0,28.0,198.0,8.0,TIDAK SEHAT
2154,Place_1,41.0,13.0,26.0,128.0,8.0,TIDAK SEHAT
2155,Place_1,53.0,12.0,26.0,62.0,3.0,SEDANG
2156,Place_1,50.0,11.0,24.0,66.0,3.0,SEDANG
2157,Place_1,65.0,11.0,28.0,77.0,3.0,SEDANG
2158,Place_1,65.0,12.0,32.0,99.0,9.0,SEDANG
2159,Place_1,65.0,13.0,26.0,56.0,3.0,SEDANG
2160,Place_1,37.0,16.0,19.0,28.0,3.0,BAIK
2161,Place_1,56.0,22.0,23.0,101.0,3.0,TIDAK SEHAT
2162,Place_1,27.0,12.0,16.0,103.0,3.0,TIDAK SEHAT
2163,Place_1,42.0,13.0,27.0,127.0,3.0,TIDAK SEHAT
2164,Place_1,74.0,30.0,31.0,28.0,3.0,SEDANG
2165,Place_1,62.0,15.0,22.0,47.0,5.0,SEDANG
2166,Place_1,39.0,15.0,23.0,46.0,3.0,BAIK
2167,Place_1,59.0,16.0,37.0,26.0,3.0,SEDANG
2168,Place_1,51.0,17.0,20.0,35.0,3.0,SEDANG
2169,Place_1,29.0,19.0,22.0,47.0,12.0,BAIK
2170,Place_1,63.0,19.0,33.0,118.0,15.0,TIDAK SEHAT
2171,Place_1,24.0,12.0,14.0,19.0,10.0,BAIK
2172,Place_1,52.0,12.0,22.0,64.0,10.0,SEDANG
2173,Place_1,48.0,11.0,19.0,80.0,11.0,SEDANG
2174,Place_1,24.0,18.0,22.0,73.0,9.0,SEDANG
2175,Place_1,53.0,23.0,22.0,33.0,11.0,SEDANG
2176,Place_1,61.0,20.0,47.0,93.0,9.0,SEDANG
2177,Place_1,61.0,37.0,47.0,31.0,10.0,SEDANG
2178,Place_1,51.0,26.0,16.0,37.0,7.0,SEDANG
2179,Place_1,54.0,22.0,27.0,31.0,6.0,SEDANG
2180,Place_1,45.0,20.0,29.0,30.0,7.0,BAIK
2181,Place_1,49.0,26.0,20.0,24.0,11.0,BAIK
2182,Place_1,59.0,25.0,34.0,65.0,10.0,SEDANG
2183,Place_1,45.0,17.0,23.0,132.0,13.0,TIDAK SEHAT
2184,Place_1,57.0,18.0,20.0,144.0,9.0,TIDAK SEHAT
2185,Place_1,56.0,21.0,22.0,64.0,11.0,SEDANG
2186,Place_1,30.0,17.0,19.0,60.0,7.0,SEDANG
2187,Place_1,50.0,20.0,36.0,19.0,14.0,BAIK
2188,Place_1,52.0,14.0,33.0,17.0,18.0,SEDANG
2189,Place_1,53.0,14.0,35.0,28.0,15.0,SEDANG
2190,Place_1,31.0,13.0,19.0,22.0,9.0,BAIK
2191,Place_1,18.0,13.0,15.0,51.0,10.0,SEDANG
2192,Place_1,24.0,17.0,13.0,46.0,10.0,BAIK
2193,Place_1,41.0,21.0,25.0,41.0,18.0,BAIK
2194,Place_1,64.0,20.0,26.0,48.0,21.0,SEDANG
2195,Place_1,56.0,14.0,34.0,22.0,21.0,SEDANG
2196,Place_1,37.0,14.0,28.0,19.0,17.0,BAIK
2197,Place_1,49.0,14.0,32.0,16.0,19.0,BAIK
2198,Place_1,32.0,12.0,24.0,56.0,15.0,SEDANG
2199,Place_1,48.0,12.0,29.0,46.0,14.0,BAIK
2200,Place_1,36.0,12.0,23.0,49.0,11.0,BAIK
2201,Place_1,48.0,14.0,25.0,25.0,14.0,BAIK
2202,Place_1,55.0,14.0,24.0,22.0,17.0,SEDANG
2203,Place_1,42.0,13.0,22.0,28.0,13.0,BAIK
2204,Place_1,50.0,13.0,29.0,16.0,15.0,BAIK
2205,Place_1,30.0,19.0,24.0,21.0,12.0,BAIK
2206,Place_1,38.0,16.0,15.0,47.0,15.0,BAIK
2207,Place_1,52.0,21.0,32.0,42.0,22.0,SEDANG
2208,Place_1,40.0,15.0,28.0,29.0,21.0,BAIK
2209,Place_1,46.0,15.0,25.0,29.0,17.0,BAIK
2210,Place_1,45.0,17.0,39.0,66.0,16.0,SEDANG
2211,Place_1,56.0,18.0,41.0,33.0,27.0,SEDANG
2212,Place_1,48.0,14.0,29.0,109.0,21.0,TIDAK SEHAT
2213,Place_1,48.0,17.0,22.0,52.0,11.0,SEDANG
2214,Place_1,28.0,15.0,20.0,25.0,10.0,BAIK
2215,Place_1,41.0,15.0,20.0,17.0,12.0,BAIK
2216,Place_1,43.0,14.0,28.0,50.0,16.0,BAIK
2217,Place_1,47.0,16.0,30.0,99.0,18.0,SEDANG
2218,Place_1,57.0,29.0,28.0,60.0,16.0,SEDANG
2219,Place_1,47.0,15.0,42.0,28.0,12.0,BAIK
2220,Place_1,30.0,19.0,18.0,33.0,9.0,BAIK
2221,Place_1,31.0,19.0,18.0,21.0,8.0,BAIK
2222,Place_1,25.0,16.0,18.0,12.0,6.0,BAIK
2223,Place_1,21.0,15.0,16.0,25.0,8.0,BAIK
2224,Place_1,23.0,3.0,16.0,24.0,10.0,BAIK
2225,Place_1,30.0,7.0,20.0,28.0,9.0,BAIK
2226,Place_1,25.0,6.0,15.0,19.0,8.0,BAIK
2227,Place_1,16.0,5.0,9.0,28.0,4.0,BAIK
2228,Place_1,18.0,5.0,14.0,19.0,7.0,BAIK
2229,Place_1,44.0,8.0,29.0,32.0,12.0,BAIK
2230,Place_1,29.0,6.0,25.0,53.0,15.0,SEDANG
2231,Place_1,44.0,5.0,36.0,47.0,18.0,BAIK
2232,Place_1,53.0,6.0,34.0,54.0,20.0,SEDANG
2233,Place_1,40.0,6.0,25.0,79.0,16.0,SEDANG
2234,Place_1,51.0,8.0,35.0,94.0,18.0,SEDANG
2235,Place_1,51.0,9.0,31.0,76.0,20.0,SEDANG
2236,Place_1,49.0,6.0,49.0,54.0,15.0,SEDANG
2237,Place_1,51.0,7.0,44.0,46.0,18.0,SEDANG
2238,Place_1,50.0,5.0,30.0,43.0,17.0,BAIK
2239,Place_1,45.0,8.0,25.0,24.0,18.0,BAIK
2240,Place_1,45.0,7.0,27.0,72.0,14.0,SEDANG
2241,Place_1,61.0,10.0,41.0,87.0,13.0,SEDANG
2242,Place_1,47.0,7.0,24.0,84.0,17.0,SEDANG
2243,Place_1,46.0,14.0,27.0,70.0,18.0,SEDANG
2244,Place_1,57.0,16.0,32.0,81.0,27.0,SEDANG
2245,Place_1,52.0,11.0,23.0,52.0,17.0,SEDANG
2246,Place_1,31.0,7.0,19.0,44.0,9.0,BAIK
2247,Place_1,32.0,5.0,24.0,37.0,10.0,BAIK
2248,Place_1,35.0,7.0,17.0,70.0,14.0,SEDANG
2249,Place_1,42.0,6.0,25.0,44.0,23.0,BAIK
2250,Place_1,45.0,6.0,29.0,94.0,16.0,SEDANG
2251,Place_1,50.0,7.0,37.0,49.0,16.0,BAIK
2252,Place_1,51.0,5.0,19.0,60.0,16.0,SEDANG
2253,Place_1,37.0,4.0,21.0,20.0,9.0,BAIK
2254,Place_1,21.0,6.0,16.0,47.0,20.0,BAIK
2255,Place_1,43.0,9.0,16.0,31.0,16.0,BAIK
2256,Place_1,40.0,9.0,17.0,28.0,9.0,BAIK
2257,Place_1,50.0,16.0,18.0,27.0,10.0,BAIK
2258,Place_1,42.0,10.0,20.0,16.0,15.0,BAIK
2259,Place_1,65.0,13.0,36.0,60.0,12.0,SEDANG
2260,Place_1,33.0,7.0,22.0,67.0,22.0,SEDANG
2261,Place_1,44.0,8.0,31.0,32.0,11.0,BAIK
2262,Place_1,49.0,6.0,42.0,38.0,11.0,BAIK
2263,Place_1,53.0,8.0,35.0,48.0,19.0,SEDANG
2264,Place_1,42.0,4.0,29.0,48.0,21.0,BAIK
2265,Place_1,49.0,3.0,24.0,54.0,11.0,SEDANG
2266,Place_1,27.0,5.0,14.0,19.0,5.0,BAIK
2267,Place_1,41.0,15.0,24.0,42.0,16.0,BAIK
2268,Place_1,51.0,12.0,32.0,29.0,14.0,SEDANG
2269,Place_1,38.0,7.0,34.0,82.0,15.0,SEDANG
2270,Place_1,35.0,7.0,22.0,70.0,13.0,SEDANG
2271,Place_1,49.0,9.0,31.0,44.0,16.0,BAIK
2272,Place_1,55.0,4.0,30.0,61.0,21.0,SEDANG
2273,Place_1,52.0,6.0,26.0,57.0,19.0,SEDANG
2274,Place_1,35.0,3.0,24.0,42.0,16.0,BAIK
2275,Place_1,47.0,3.0,21.0,40.0,13.0,BAIK
2276,Place_1,57.0,2.0,19.0,46.0,12.0,SEDANG
2277,Place_1,51.0,3.0,28.0,41.0,15.0,SEDANG
2278,Place_1,53.0,6.0,23.0,31.0,13.0,SEDANG
2279,Place_1,56.0,11.0,19.0,38.0,12.0,SEDANG
2280,Place_1,48.0,7.0,23.0,78.0,18.0,SEDANG
2281,Place_1,53.0,7.0,24.0,47.0,18.0,SEDANG
2282,Place_1,47.0,10.0,21.0,59.0,15.0,SEDANG
2283,Place_1,72.0,12.0,18.0,80.0,16.0,SEDANG
2284,Place_1,54.0,8.0,22.0,47.0,15.0,SEDANG
2285,Place_1,55.0,7.0,21.0,66.0,16.0,SEDANG
2286,Place_1,52.0,10.0,16.0,44.0,10.0,SEDANG
2287,Place_1,47.0,7.0,20.0,59.0,16.0,SEDANG
2288,Place_1,55.0,11.0,22.0,38.0,13.0,SEDANG
2289,Place_1,51.0,9.0,15.0,49.0,19.0,SEDANG
2290,Place_1,49.0,8.0,14.0,75.0,15.0,SEDANG
2291,Place_1,58.0,13.0,32.0,60.0,14.0,SEDANG
2292,Place_1,52.0,10.0,26.0,39.0,10.0,SEDANG
2293,Place_1,51.0,10.0,19.0,40.0,11.0,SEDANG
2294,Place_1,53.0,6.0,19.0,54.0,10.0,SEDANG
2295,Place_1,48.0,6.0,16.0,42.0,16.0,BAIK
2296,Place_1,50.0,6.0,18.0,69.0,15.0,SEDANG
2297,Place_1,53.0,5.0,22.0,72.0,14.0,SEDANG
2298,Place_1,40.0,4.0,13.0,62.0,10.0,SEDANG
2299,Place_1,55.0,4.0,18.0,48.0,11.0,SEDANG
2300,Place_1,53.0,9.0,20.0,35.0,13.0,SEDANG
2301,Place_1,33.0,6.0,11.0,39.0,9.0,BAIK
2302,Place_1,43.0,5.0,9.0,34.0,8.0,BAIK
2303,Place_1,29.0,4.0,13.0,71.0,8.0,SEDANG
2304,Place_1,37.0,5.0,17.0,76.0,15.0,SEDANG
2305,Place_1,45.0,8.0,20.0,56.0,16.0,SEDANG
2306,Place_1,48.0,8.0,22.0,64.0,22.0,SEDANG
2307,Place_1,67.0,8.0,22.0,72.0,18.0,SEDANG
2308,Place_1,55.0,9.0,25.0,68.0,21.0,SEDANG
2309,Place_1,52.0,7.0,21.0,59.0,16.0,SEDANG
2310,Place_1,46.0,7.0,27.0,56.0,24.0,SEDANG
2311,Place_1,50.0,9.0,16.0,70.0,17.0,SEDANG
2312,Place_1,52.0,9.0,23.0,42.0,14.0,SEDANG
2313,Place_1,52.0,10.0,20.0,44.0,12.0,SEDANG
2314,Place_1,52.0,11.0,16.0,68.0,16.0,SEDANG
2315,Place_1,62.0,12.0,25.0,79.0,17.0,SEDANG
2316,Place_1,62.0,13.0,23.0,66.0,13.0,SEDANG
2317,Place_1,61.0,14.0,17.0,91.0,15.0,SEDANG
2318,Place_1,65.0,9.0,20.0,76.0,17.0,SEDANG
2319,Place_1,63.0,10.0,20.0,75.0,13.0,SEDANG
2320,Place_1,55.0,13.0,23.0,78.0,14.0,SEDANG
2321,Place_1,63.0,14.0,20.0,62.0,15.0,SEDANG
2322,Place_1,71.0,10.0,22.0,113.0,16.0,TIDAK SEHAT
2323,Place_1,62.0,8.0,28.0,69.0,21.0,SEDANG
2324,Place_1,59.0,14.0,26.0,51.0,14.0,SEDANG
2325,Place_1,57.0,13.0,16.0,58.0,12.0,SEDANG
2326,Place_1,59.0,10.0,23.0,51.0,15.0,SEDANG
2327,Place_1,61.0,11.0,24.0,73.0,15.0,SEDANG
2328,Place_1,60.0,26.0,21.0,45.0,16.0,SEDANG
2329,Place_1,58.0,25.0,20.0,29.0,16.0,SEDANG
2330,Place_1,58.0,22.0,23.0,43.0,13.0,SEDANG
2331,Place_1,57.0,27.0,22.0,42.0,13.0,SEDANG
2332,Place_1,63.0,23.0,12.0,41.0,7.0,SEDANG
2333,Place_1,60.0,23.0,17.0,36.0,10.0,SEDANG
2334,Place_1,60.0,21.0,22.0,72.0,15.0,SEDANG
2335,Place_1,62.0,26.0,20.0,32.0,14.0,SEDANG
2336,Place_1,59.0,20.0,18.0,105.0,14.0,TIDAK SEHAT
2337,Place_1,72.0,20.0,18.0,105.0,17.0,TIDAK SEHAT
2338,Place_1,58.0,23.0,23.0,39.0,13.0,SEDANG
2339,Place_1,62.0,23.0,24.0,51.0,19.0,SEDANG
2340,Place_1,64.0,23.0,27.0,65.0,19.0,SEDANG
2341,Place_1,66.0,22.0,23.0,49.0,16.0,SEDANG
2342,Place_1,55.0,22.0,26.0,34.0,18.0,SEDANG
2343,Place_1,62.0,22.0,22.0,64.0,22.0,SEDANG
2344,Place_1,57.0,19.0,18.0,69.0,12.0,SEDANG
2345,Place_1,59.0,20.0,24.0,79.0,21.0,SEDANG
2346,Place_1,64.0,25.0,23.0,42.0,15.0,SEDANG
2347,Place_1,62.0,22.0,20.0,52.0,19.0,SEDANG
2348,Place_1,66.0,23.0,25.0,75.0,25.0,SEDANG
2349,Place_1,65.0,22.0,21.0,38.0,21.0,SEDANG
2350,Place_1,59.0,15.0,17.0,47.0,13.0,SEDANG
2351,Place_1,66.0,14.0,15.0,73.0,13.0,SEDANG
2352,Place_1,65.0,14.0,27.0,53.0,17.0,SEDANG
2353,Place_1,64.0,20.0,26.0,63.0,15.0,SEDANG
2354,Place_1,63.0,21.0,22.0,64.0,13.0,SEDANG
2355,Place_1,64.0,20.0,22.0,62.0,18.0,SEDANG
2356,Place_1,61.0,20.0,22.0,63.0,20.0,SEDANG
2357,Place_1,62.0,20.0,20.0,63.0,19.0,SEDANG
2358,Place_1,57.0,19.0,16.0,65.0,17.0,SEDANG
2359,Place_1,57.0,20.0,20.0,55.0,22.0,SEDANG
2360,Place_1,54.0,21.0,20.0,90.0,18.0,SEDANG
2361,Place_1,55.0,20.0,22.0,51.0,13.0,SEDANG
2362,Place_1,63.0,22.0,24.0,73.0,21.0,SEDANG
2363,Place_1,66.0,20.0,21.0,66.0,14.0,SEDANG
2364,Place_1,73.0,21.0,24.0,43.0,14.0,SEDANG
2365,Place_1,57.0,19.0,13.0,40.0,9.0,SEDANG
2366,Place_1,55.0,19.0,17.0,37.0,10.0,SEDANG
2367,Place_1,57.0,19.0,17.0,32.0,10.0,SEDANG
2368,Place_1,52.0,18.0,19.0,45.0,18.0,SEDANG
2369,Place_1,59.0,18.0,21.0,52.0,17.0,SEDANG
2370,Place_1,66.0,17.0,26.0,81.0,19.0,SEDANG
2371,Place_1,62.0,16.0,22.0,76.0,14.0,SEDANG
2372,Place_1,55.0,18.0,13.0,48.0,10.0,BAIK
2373,Place_1,69.0,18.0,24.0,115.0,19.0,TIDAK SEHAT
2374,Place_1,62.0,20.0,23.0,74.0,18.0,SEDANG
2375,Place_1,56.0,23.0,19.0,36.0,10.0,SEDANG
2376,Place_1,52.0,20.0,18.0,30.0,14.0,SEDANG
2377,Place_1,61.0,17.0,29.0,53.0,18.0,SEDANG
2378,Place_1,55.0,19.0,22.0,65.0,19.0,SEDANG
2379,Place_1,52.0,17.0,14.0,73.0,12.0,SEDANG
2380,Place_1,57.0,18.0,22.0,89.0,16.0,SEDANG
2381,Place_1,56.0,17.0,24.0,51.0,22.0,SEDANG
2382,Place_1,58.0,15.0,24.0,53.0,17.0,SEDANG
2383,Place_1,61.0,16.0,26.0,53.0,14.0,SEDANG
2384,Place_1,56.0,19.0,20.0,58.0,12.0,SEDANG
2385,Place_1,68.0,19.0,16.0,50.0,10.0,SEDANG
2386,Place_1,54.0,19.0,13.0,50.0,10.0,SEDANG
2387,Place_1,58.0,18.0,24.0,67.0,16.0,SEDANG
2388,Place_1,57.0,18.0,20.0,61.0,20.0,SEDANG
2389,Place_1,57.0,18.0,20.0,46.0,12.0,SEDANG
2390,Place_1,60.0,20.0,22.0,52.0,3.0,SEDANG
2391,Place_1,56.0,20.0,23.0,43.0,15.0,SEDANG
2392,Place_1,57.0,21.0,20.0,49.0,13.0,SEDANG
2393,Place_1,52.0,21.0,14.0,59.0,10.0,SEDANG
2394,Place_1,53.0,20.0,18.0,47.0,14.0,SEDANG
2395,Place_1,50.0,26.0,15.0,45.0,13.0,BAIK
2396,Place_1,54.0,24.0,20.0,69.0,16.0,SEDANG
2397,Place_1,57.0,22.0,21.0,90.0,18.0,SEDANG
2398,Place_1,57.0,21.0,22.0,90.0,18.0,SEDANG
2399,Place_1,63.0,21.0,20.0,89.0,14.0,SEDANG
2400,Place_1,55.0,21.0,16.0,50.0,14.0,SEDANG
2401,Place_1,51.0,21.0,15.0,35.0,10.0,SEDANG
2402,Place_1,51.0,22.0,17.0,35.0,14.0,SEDANG
2403,Place_1,52.0,20.0,20.0,47.0,16.0,SEDANG
2404,Place_1,55.0,19.0,20.0,19.0,3.0,BAIK
2405,Place_1,55.0,20.0,19.0,41.0,13.0,SEDANG
2406,Place_1,51.0,22.0,16.0,95.0,14.0,SEDANG
2407,Place_1,58.0,22.0,16.0,75.0,12.0,SEDANG
2408,Place_1,56.0,23.0,18.0,45.0,12.0,SEDANG
2409,Place_1,54.0,22.0,18.0,48.0,12.0,SEDANG
2410,Place_1,67.0,25.0,24.0,71.0,17.0,SEDANG
2411,Place_1,59.0,20.0,21.0,64.0,14.0,SEDANG
2412,Place_1,58.0,23.0,23.0,46.0,16.0,SEDANG
2413,Place_1,61.0,19.0,18.0,49.0,10.0,SEDANG
2414,Place_1,73.0,18.0,16.0,58.0,14.0,SEDANG
2415,Place_1,62.0,18.0,17.0,65.0,14.0,SEDANG
2416,Place_1,62.0,24.0,18.0,75.0,16.0,SEDANG
2417,Place_1,62.0,20.0,15.0,56.0,16.0,SEDANG
2418,Place_1,59.0,19.0,16.0,65.0,21.0,SEDANG
2419,Place_1,56.0,19.0,17.0,74.0,23.0,SEDANG
2420,Place_1,40.0,51.0,14.0,49.0,38.0,SEDANG
2421,Place_1,55.0,25.0,19.0,52.0,13.0,SEDANG
2422,Place_1,55.0,19.0,19.0,47.0,16.0,BAIK
2423,Place_1,69.0,18.0,19.0,73.0,16.0,SEDANG
2424,Place_1,65.0,18.0,21.0,92.0,24.0,SEDANG
2425,Place_1,66.0,19.0,16.0,72.0,14.0,SEDANG
2426,Place_1,63.0,19.0,17.0,84.0,13.0,SEDANG
2427,Place_1,62.0,19.0,18.0,79.0,13.0,SEDANG
2428,Place_1,59.0,18.0,18.0,91.0,14.0,SEDANG
2429,Place_1,66.0,19.0,22.0,78.0,17.0,SEDANG
2430,Place_1,58.0,18.0,20.0,70.0,12.0,SEDANG
2431,Place_1,57.0,18.0,17.0,41.0,13.0,SEDANG
2432,Place_1,57.0,19.0,17.0,30.0,11.0,SEDANG
2433,Place_1,62.0,20.0,22.0,76.0,12.0,SEDANG
2434,Place_1,58.0,22.0,40.0,53.0,11.0,SEDANG
2435,Place_1,55.0,23.0,16.0,66.0,16.0,SEDANG
2436,Place_1,52.0,22.0,15.0,73.0,17.0,SEDANG
2437,Place_1,63.0,25.0,14.0,61.0,18.0,SEDANG
2438,Place_1,61.0,21.0,13.0,56.0,12.0,SEDANG
2439,Place_1,63.0,23.0,13.0,93.0,15.0,SEDANG
2440,Place_1,68.0,22.0,28.0,72.0,12.0,SEDANG
2441,Place_1,59.0,19.0,16.0,45.0,15.0,SEDANG
2442,Place_1,62.0,21.0,21.0,43.0,14.0,SEDANG
2443,Place_1,56.0,23.0,19.0,89.0,16.0,SEDANG
2444,Place_1,59.0,28.0,18.0,58.0,14.0,SEDANG
2445,Place_1,49.0,22.0,13.0,86.0,14.0,SEDANG
2446,Place_1,47.0,19.0,15.0,58.0,13.0,SEDANG
2447,Place_1,43.0,20.0,13.0,62.0,12.0,SEDANG
2448,Place_1,41.0,22.0,14.0,70.0,12.0,SEDANG
2449,Place_1,59.0,21.0,15.0,92.0,17.0,SEDANG
2450,Place_1,56.0,20.0,21.0,86.0,17.0,SEDANG
2451,Place_1,55.0,22.0,22.0,85.0,21.0,SEDANG
2452,Place_1,72.0,24.0,20.0,86.0,19.0,SEDANG
2453,Place_1,59.0,27.0,17.0,129.0,16.0,TIDAK SEHAT
2454,Place_1,63.0,27.0,16.0,79.0,20.0,SEDANG
2455,Place_1,59.0,24.0,13.0,78.0,18.0,SEDANG
2456,Place_1,62.0,22.0,17.0,78.0,15.0,SEDANG
2457,Place_1,73.0,24.0,20.0,63.0,20.0,SEDANG
2458,Place_1,67.0,22.0,29.0,28.0,15.0,SEDANG
2459,Place_1,55.0,29.0,15.0,36.0,10.0,SEDANG
2460,Place_1,57.0,24.0,16.0,66.0,12.0,SEDANG
2461,Place_1,55.0,23.0,12.0,80.0,14.0,SEDANG
